Alarm_Type,Start,End,Duration
MIDDLE_LEVEL_ALARM,2024-08-21 12:06:00,2024-08-21 12:20:00,14.0
MIDDLE_LEVEL_ALARM,2024-08-21 12:22:00,2024-08-21 12:54:00,32.0
MIDDLE_LEVEL_ALARM,2024-08-21 12:56:00,2024-08-21 13:12:00,16.0
MIDDLE_LEVEL_ALARM,2024-08-21 13:14:00,2024-08-21 13:29:00,15.0
MIDDLE_LEVEL_ALARM,2024-08-21 13:31:00,2024-08-21 13:47:00,16.0
MIDDLE_LEVEL_ALARM,2024-08-21 13:49:00,2024-08-21 14:45:00,56.0
MIDDLE_LEVEL_ALARM,2024-08-21 14:47:00,2024-08-21 15:18:00,31.0
MIDDLE_LEVEL_ALARM,2024-08-21 15:20:00,2024-08-21 15:28:00,8.0
MIDDLE_LEVEL_ALARM,2024-08-21 15:30:00,2024-08-21 16:08:00,38.0
MIDDLE_LEVEL_ALARM,2024-08-21 16:12:00,2024-08-21 16:43:00,31.0
MIDDLE_LEVEL_ALARM,2024-08-21 17:17:00,2024-08-21 17:51:00,34.0
MIDDLE_LEVEL_ALARM,2024-08-21 17:53:00,2024-08-21 18:23:00,30.0
MIDDLE_LEVEL_ALARM,2024-08-21 18:26:00,2024-08-21 19:03:00,37.0
MIDDLE_LEVEL_ALARM,2024-08-21 19:06:00,2024-08-25 11:08:00,5282.0
MIDDLE_LEVEL_ALARM,2024-08-27 18:18:00,2024-08-27 18:20:00,2.0
MIDDLE_LEVEL_ALARM,2024-08-27 18:23:00,2024-08-27 19:00:00,37.0
MIDDLE_LEVEL_ALARM,2024-08-27 19:04:00,2024-08-27 19:34:00,30.0
MIDDLE_LEVEL_ALARM,2024-08-27 19:36:00,2024-08-28 08:23:00,767.0
MIDDLE_LEVEL_ALARM,2024-08-28 08:39:00,2024-08-28 09:10:00,31.0
MIDDLE_LEVEL_ALARM,2024-08-28 09:12:00,2024-08-28 15:35:00,383.0
MIDDLE_LEVEL_ALARM,2024-08-28 15:38:00,2024-08-28 16:08:00,30.0
MIDDLE_LEVEL_ALARM,2024-08-28 16:10:00,2024-08-28 16:18:00,8.0
MIDDLE_LEVEL_ALARM,2024-08-28 16:20:00,2024-08-28 16:44:00,24.0
MIDDLE_LEVEL_ALARM,2024-08-28 16:46:00,2024-08-28 16:54:00,8.0
MIDDLE_LEVEL_ALARM,2024-08-28 16:57:00,2024-08-28 17:16:00,19.0
MIDDLE_LEVEL_ALARM,2024-08-28 17:18:00,2024-08-28 17:27:00,9.0
MIDDLE_LEVEL_ALARM,2024-08-28 17:29:00,2024-08-28 17:42:00,13.0
MIDDLE_LEVEL_ALARM,2024-08-28 17:44:00,2024-08-28 18:10:00,26.0
MIDDLE_LEVEL_ALARM,2024-08-28 18:12:00,2024-08-28 18:42:00,30.0
MIDDLE_LEVEL_ALARM,2024-08-28 18:45:00,2024-08-28 18:54:00,9.0
MIDDLE_LEVEL_ALARM,2024-08-28 18:56:00,2024-08-28 19:15:00,19.0
MIDDLE_LEVEL_ALARM,2024-08-28 19:18:00,2024-08-28 19:27:00,9.0
